每一组数据中，第一个数字是链表的号码，第二个数字是此知识点在该知识点在此知识链表中的逻辑顺序下标，第三个是文本串是该知识点的名字，第四个是该知识点的权重
1 1到1 20属于“java核心语法“，1 21到1 40属于”java web”，1 41到1 54属于“struts2“，1 55到1 64属于”spring“，1 65到1 73属于”spring mvc“，1 74到1 79属于”ORM框架”，1 80到1 84属于“spring boot”
2 1到2 13属于“关系数据库”，3 1到3 11属于“ON SQL”
4 1到4 9属于“中心件“
1 1 环境变量 5
1 2 IDE（eclipse idea） 5
1 3 数据类型 5
1 4 变量 5
1 5 运算符 5
1 6 流程控制 5
1 7 String类型 5
1 8 数组 5
1 9 面向对象 5
1 10 包装类 5
1 11 格式化 4
1 12 接口继承多态 5
1 13 集合 5
1 14 异常 5
1 15 IO流处理 4
1 16 反射 3
1 17 枚举类型 3
1 18 多线程 3
1 19 网络通信 3
1 20 JDBC 2
1 21 HTML 5
1 22 CSS 3
1 23 javascript 4
1 24 DOM 3
1 25 jquery 4
1 26 tomcat 5
1 27 http协议 4
1 28 servlet 5
1 29 jsp 2
1 30 jstl 2
1 31 el表达式 2
1 32 ajax 4
1 33 json 5
1 34 过滤器 2
1 35 监听器 2
1 36 linux 5
1 37 log 3
1 38 xml 3
1 39 properties 3
1 40 yml 1
1 41 MVC 5
1 42 struts2流程 2
1 43 配置 2
1 44 视图 2
1 45 异常 1
1 46 国际化 1
1 47 ognl 1
1 48 文件上传 1
1 49 拦截器 1
1 50 验证 1
1 51 数据标签 1
1 52 控制标签 1
1 53 表单标签 1
1 54 框架集成 2
1 55 ioc 5
1 56 Spring配置 5
1 57 springbean 5
1 58 依赖注入 5
1 59 注解 5
1 60 bean的创建 5
1 61 bean的生命周期 5
1 62 spring事务 5
1 63 springAOP 5
1 64 spring集成 5
1 65 springmvc配置 5
1 66 springmvc注解配置 5
1 67 springmvc注解 5
1 68 jackson处理json 5
1 69 数据模型 5
1 70 视图解析 5
1 71 RESTFUL编码风格 5
1 72 国际化 3
1 73 文件上传 3
1 74 mybatis 5
1 75 配置文件 5
1 76 别名、对象映射 5
1 77 注解配置 5
1 78 xml文件配置 5
1 79 动态SQL 5
1 80 内置容器 5
1 81 starter 5
1 82 部署方式 5
1 83 监控 5
1 84 虚拟化 5
2 1 mysql 5
2 2 oracle 5
2 3 数据库操作 5
2 4 表操作 5
2 5 主键 5
2 6 外键 5
2 7 语句 5
2 8 索引 4
2 9 事务 3
2 10 临时表 3
2 11 分表 3
2 12 分库 3
2 13 主从备份 3
3 1 redis 4
3 2 mongodb 4
3 3 数据类型 4
3 4 分区 3
3 5 分片 2
3 6 索引 3
3 7 排序 3
3 8 聚合 3
3 9 安全 3
3 10 集群 3
3 11 监控 3
4 1 （缓存）redis 5
4 2 （缓存）EhCache 2
4 3 （缓存）Memcache 3
4 4 （搜索）Lucene 2
4 5 （搜索）Solr 3
4 6 （搜索）ES 4
4 7 （消息）ActiveMQ 5
4 8 （消息）RabbitMQ 5
4 9 （消息）Kafka 5
5 1 dubbo 5
5 2 rpc 5
5 3 zookeeper 5
5 4 生产者和消费者 5
5 5 监控 5
5 6 代理 5
5 7 网关 5
5 8 dubbox 5
6 1 springcloud 5
6 2 eureka 5
6 3 ribbon 5 
6 4 feign 5
6 5 hystrix 5
6 6 zuul 5
6 7 配置中心 5
6 8 bus 5
7 1 syn 4
7 2 git 5
7 3 mavem 5
7 4 nexus 2
8 1 hibernate 2
8 2 对象映射 2
8 3 HQL 2
8 4 批处理 2
8 5 缓存 2
